image_id,image_path,true_label,predicted_label,model,serial,seed,epoch,run_key,confidence,entropy,normalized_entropy,classification_margin,energy_T1,prob_CNV,prob_DME,prob_DRUSEN,prob_NORMAL,high_confidence_error_90,high_confidence_error_95,high_confidence_error_99
CNV/CNV-4283050-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\CNV\CNV-4283050-1.jpeg,CNV,DME,resnet_baseline,1,42,46,resnet_baseline_S1_seed42,0.92487407,0.2669154,0.19253877,0.8497702,-4.634807,0.07510390877723694,0.9248740673065186,6.575131010322366e-06,1.545183295093011e-05,True,False,False
DME/DME-5802218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-5802218-1.jpeg,DME,CNV,se_resnet,5,84,42,se_resnet_S5_seed84,0.9069227,0.3143312,0.22674203,0.81458694,-3.508655,0.9069226980209351,0.0923357754945755,0.00017815148748923093,0.0005633824039250612,True,False,False
DME/DME-5802218-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-5802218-1.jpeg,DME,CNV,cbam_resnet,8,84,33,cbam_resnet_S8_seed84,0.9013593,0.32303023,0.23301706,0.8028365,-4.3777742,0.9013593196868896,0.0985228419303894,1.0266526260238606e-05,0.00010740492871263996,True,False,False
DME/DME-8000885-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DME\DME-8000885-1.jpeg,DME,CNV,cbam_resnet,18,3407,40,cbam_resnet_S18_seed3407,0.920313,0.2788767,0.20116702,0.8407311,-4.560622,0.9203130006790161,0.07958189398050308,4.2245079384883866e-05,6.281982496147975e-05,True,False,False
DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,CNV,vit_b16,16,3407,39,vit_b16_S16_seed3407,0.96815854,0.14448687,0.10422525,0.93701553,-5.6213455,0.9681585431098938,0.0006910302909091115,0.031143000349402428,7.521958650613669e-06,True,True,False
DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,CNV,cbam_resnet,9,126,45,cbam_resnet_S9_seed126,0.96642584,0.14761518,0.10648184,0.93293875,-3.8025727,0.9664258360862732,5.9944162785541266e-05,0.03348708897829056,2.7224785299040377e-05,True,True,False
DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,CNV,se_resnet,5,84,42,se_resnet_S5_seed84,0.9319812,0.24953173,0.1799991,0.8641052,-4.0039554,0.9319812059402466,0.00013683199358638376,0.06787598878145218,5.970206984784454e-06,True,False,False
DRUSEN/DRUSEN-1173253-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-1173253-1.jpeg,DRUSEN,CNV,resnet_baseline,17,3407,42,resnet_baseline_S17_seed3407,0.9123442,0.2973187,0.2144701,0.8247132,-3.964773,0.912344217300415,2.0127770767430775e-05,0.08763106912374496,4.567305495584151e-06,True,False,False
DRUSEN/DRUSEN-2108193-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2108193-1.jpeg,DRUSEN,CNV,cbam_resnet,18,3407,40,cbam_resnet_S18_seed3407,0.94258547,0.22015274,0.15880664,0.88521266,-4.243237,0.9425854682922363,3.709879092639312e-05,0.05737278237938881,4.76473951493972e-06,True,False,False
DRUSEN/DRUSEN-2403178-2.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\DRUSEN\DRUSEN-2403178-2.jpeg,DRUSEN,CNV,vit_b16,16,3407,39,vit_b16_S16_seed3407,0.9822495,0.089443654,0.06451996,0.9645372,-6.458937,0.9822494983673096,3.0314718969748355e-05,0.017712285742163658,7.991431630216539e-06,True,True,False
