image_id,model,serial,seed,mahalanobis_distance,cosine_CNV,cosine_DME,cosine_DRUSEN,mahalanobis_percentile
NORMAL/NORMAL-1017237-1.jpeg,resnet_baseline,1,42,3.105088,-0.60335755,-0.68810225,-0.47347483,10.37344398340249
NORMAL/NORMAL-101880-1.jpeg,resnet_baseline,1,42,5.51109,-0.5684231,-0.4518909,-0.56958234,97.0954356846473
NORMAL/NORMAL-1025847-1.jpeg,resnet_baseline,1,42,4.609888,-0.48057464,-0.5764802,-0.539177,85.06224066390041
NORMAL/NORMAL-1038998-1.jpeg,resnet_baseline,1,42,3.9484375,-0.61374474,-0.58588266,-0.202353,59.33609958506224
NORMAL/NORMAL-1042462-1.jpeg,resnet_baseline,1,42,3.893903,0.40408176,0.30845392,0.75761694,56.016597510373444
NORMAL/NORMAL-1058176-1.jpeg,resnet_baseline,1,42,2.4973738,-0.2557456,-0.6037958,0.14500579,2.0746887966804977
NORMAL/NORMAL-1063128-1.jpeg,resnet_baseline,1,42,4.248138,-0.6154455,-0.5329691,-0.5023452,75.10373443983403
NORMAL/NORMAL-1073137-1.jpeg,resnet_baseline,1,42,3.9944315,-0.56448114,-0.6278926,-0.42175603,62.655601659751035
NORMAL/NORMAL-1081406-1.jpeg,resnet_baseline,1,42,3.844694,0.5376141,0.37234926,0.5107924,51.867219917012456
NORMAL/NORMAL-112928-1.jpeg,resnet_baseline,1,42,4.579215,-0.60381544,-0.6141092,-0.41507953,84.23236514522821
NORMAL/NORMAL-119840-1.jpeg,resnet_baseline,1,42,3.927372,-0.027356848,0.44633558,-0.0048960224,57.676348547717836
NORMAL/NORMAL-12494-1.jpeg,resnet_baseline,1,42,3.4980524,-0.39001817,-0.7079681,-0.20331493,29.87551867219917
NORMAL/NORMAL-12494-2.jpeg,resnet_baseline,1,42,3.4751036,-0.5944408,-0.610691,-0.45126992,27.385892116182575
NORMAL/NORMAL-12494-3.jpeg,resnet_baseline,1,42,3.0459235,-0.3864536,-0.24320579,-0.60467327,9.54356846473029
