image_id,model,serial,seed,layer_name,relative_depth,mahalanobis_distance,cosine_CNV,cosine_DME,cosine_DRUSEN
CNV/CNV-1016042-1.jpeg,retfound,0,0,mid,0.33,53.24226,0.8939339,0.7767557,0.69121635
CNV/CNV-1016042-2.jpeg,retfound,0,0,mid,0.33,49.68567,0.80845964,0.7433699,0.62970966
CNV/CNV-1016042-3.jpeg,retfound,0,0,mid,0.33,51.967087,0.9135409,0.74236476,0.6774752
CNV/CNV-1016042-4.jpeg,retfound,0,0,mid,0.33,57.212708,0.92011285,0.66301703,0.79190856
CNV/CNV-103044-1.jpeg,retfound,0,0,mid,0.33,51.241943,0.87805855,0.6961956,0.7709559
CNV/CNV-103044-10.jpeg,retfound,0,0,mid,0.33,49.661934,0.8694416,0.64656377,0.75037944
CNV/CNV-103044-11.jpeg,retfound,0,0,mid,0.33,52.406525,0.93291193,0.70156944,0.78444195
CNV/CNV-103044-12.jpeg,retfound,0,0,mid,0.33,59.454067,0.9220033,0.63453543,0.8304505
CNV/CNV-103044-2.jpeg,retfound,0,0,mid,0.33,50.667473,0.8012005,0.82883,0.6989812
CNV/CNV-103044-3.jpeg,retfound,0,0,mid,0.33,52.886543,0.89170724,0.68486005,0.72980285
CNV/CNV-103044-4.jpeg,retfound,0,0,mid,0.33,53.78582,0.928674,0.7831034,0.7532756
CNV/CNV-103044-5.jpeg,retfound,0,0,mid,0.33,54.929256,0.912436,0.6947552,0.8337761
CNV/CNV-103044-6.jpeg,retfound,0,0,mid,0.33,53.227108,0.8685224,0.6685468,0.74913925
CNV/CNV-103044-7.jpeg,retfound,0,0,mid,0.33,52.030144,0.8834418,0.7522646,0.75315857
CNV/CNV-103044-8.jpeg,retfound,0,0,mid,0.33,48.889336,0.90146226,0.67076355,0.6973877
CNV/CNV-103044-9.jpeg,retfound,0,0,mid,0.33,59.650433,0.91825205,0.70119804,0.850814
CNV/CNV-1083927-1.jpeg,retfound,0,0,mid,0.33,54.81441,0.9295124,0.69833493,0.7716069
CNV/CNV-1112835-1.jpeg,retfound,0,0,mid,0.33,52.008377,0.87144893,0.6293972,0.69518256
CNV/CNV-1112835-2.jpeg,retfound,0,0,mid,0.33,53.129326,0.90476406,0.6431705,0.6661735
CNV/CNV-1130960-1.jpeg,retfound,0,0,mid,0.33,48.34222,0.8539519,0.7004449,0.60484487
CNV/CNV-1131664-1.jpeg,retfound,0,0,mid,0.33,50.33835,0.90289056,0.6903733,0.7004293
CNV/CNV-1136126-1.jpeg,retfound,0,0,mid,0.33,55.3592,0.83678526,0.6344204,0.7401173
CNV/CNV-1177084-1.jpeg,retfound,0,0,mid,0.33,49.34591,0.748001,0.6257251,0.75829196
CNV/CNV-1188386-1.jpeg,retfound,0,0,mid,0.33,59.16429,0.89391387,0.63240266,0.8162042
CNV/CNV-1188386-2.jpeg,retfound,0,0,mid,0.33,52.133987,0.9265238,0.68062603,0.7111055
CNV/CNV-1188386-3.jpeg,retfound,0,0,mid,0.33,57.890022,0.9136722,0.67241234,0.70288795
CNV/CNV-1188386-4.jpeg,retfound,0,0,mid,0.33,48.16955,0.81330943,0.6483542,0.56735855
CNV/CNV-1260317-1.jpeg,retfound,0,0,mid,0.33,53.74215,0.8452792,0.5875645,0.6943299
CNV/CNV-1290410-1.jpeg,retfound,0,0,mid,0.33,53.4589,0.9179456,0.6938746,0.76231533
CNV/CNV-1290410-2.jpeg,retfound,0,0,mid,0.33,52.402485,0.84952664,0.60123146,0.75229603
CNV/CNV-1290410-3.jpeg,retfound,0,0,mid,0.33,54.361214,0.90350056,0.5991626,0.7046619
CNV/CNV-1305450-1.jpeg,retfound,0,0,mid,0.33,51.112934,0.86959386,0.5486733,0.71270746
CNV/CNV-1305450-2.jpeg,retfound,0,0,mid,0.33,49.81177,0.8967631,0.6861687,0.64903104
CNV/CNV-1305450-3.jpeg,retfound,0,0,mid,0.33,49.585968,0.9044863,0.75018585,0.6993985
CNV/CNV-1305450-4.jpeg,retfound,0,0,mid,0.33,49.486156,0.792828,0.67635894,0.5648536
CNV/CNV-137351-1.jpeg,retfound,0,0,mid,0.33,50.78155,0.8655063,0.6625198,0.73536223
CNV/CNV-1415351-1.jpeg,retfound,0,0,mid,0.33,51.726025,0.9202167,0.74106884,0.7056269
CNV/CNV-154835-1.jpeg,retfound,0,0,mid,0.33,54.79342,0.8409868,0.5629822,0.6756871
CNV/CNV-154835-2.jpeg,retfound,0,0,mid,0.33,55.034874,0.89746475,0.69873667,0.8064484
