image_id,retfound_mahalanobis,retfound_percentile
CNV/CNV-1016042-1.jpeg,49.686317,47.107438016528924
CNV/CNV-1016042-2.jpeg,60.592525,79.75206611570248
CNV/CNV-1016042-3.jpeg,45.69717,33.16115702479338
CNV/CNV-1016042-4.jpeg,49.574944,46.69421487603306
CNV/CNV-103044-1.jpeg,50.596268,49.6900826446281
CNV/CNV-103044-10.jpeg,51.61505,53.925619834710744
CNV/CNV-103044-11.jpeg,47.454437,39.15289256198347
CNV/CNV-103044-12.jpeg,50.57648,49.586776859504134
CNV/CNV-103044-2.jpeg,57.43357,70.55785123966942
CNV/CNV-103044-3.jpeg,50.228687,48.86363636363637
CNV/CNV-103044-4.jpeg,47.62445,39.66942148760331
CNV/CNV-103044-5.jpeg,50.791054,50.72314049586777
CNV/CNV-103044-6.jpeg,56.271126,67.14876033057851
CNV/CNV-103044-7.jpeg,51.91423,55.061983471074385
CNV/CNV-103044-8.jpeg,46.743546,36.46694214876033
CNV/CNV-103044-9.jpeg,52.286243,56.30165289256198
CNV/CNV-1083927-1.jpeg,48.209106,41.83884297520662
CNV/CNV-1112835-1.jpeg,51.11362,51.85950413223141
CNV/CNV-1112835-2.jpeg,46.52127,35.64049586776859
CNV/CNV-1130960-1.jpeg,45.061146,32.438016528925615
CNV/CNV-1131664-1.jpeg,47.259815,38.32644628099173
CNV/CNV-1136126-1.jpeg,57.650276,71.38429752066115
CNV/CNV-1177084-1.jpeg,59.515232,76.34297520661157
CNV/CNV-1188386-1.jpeg,53.545437,59.400826446280995
CNV/CNV-1188386-2.jpeg,46.103336,34.19421487603306
CNV/CNV-1188386-3.jpeg,51.3893,53.20247933884298
CNV/CNV-1188386-4.jpeg,53.776497,60.12396694214877
CNV/CNV-1260317-1.jpeg,55.774113,66.01239669421489
CNV/CNV-1290410-1.jpeg,48.02553,41.425619834710744
CNV/CNV-1290410-2.jpeg,52.502937,57.02479338842975
CNV/CNV-1290410-3.jpeg,46.039246,34.090909090909086
CNV/CNV-1305450-1.jpeg,49.98891,47.93388429752066
CNV/CNV-1305450-2.jpeg,42.537724,29.028925619834713
CNV/CNV-1305450-3.jpeg,45.863285,33.78099173553719
CNV/CNV-1305450-4.jpeg,55.382866,64.87603305785123
CNV/CNV-137351-1.jpeg,54.181534,61.8801652892562
CNV/CNV-1415351-1.jpeg,47.922962,40.80578512396694
CNV/CNV-154835-1.jpeg,52.333466,56.40495867768595
CNV/CNV-154835-2.jpeg,51.209686,52.582644628099175
CNV/CNV-163081-1.jpeg,51.125374,52.066115702479344
CNV/CNV-163081-10.jpeg,46.134716,34.50413223140496
CNV/CNV-163081-2.jpeg,47.018116,37.29338842975206
CNV/CNV-163081-3.jpeg,53.97465,60.847107438016536
CNV/CNV-163081-4.jpeg,49.78371,47.417355371900825
CNV/CNV-163081-5.jpeg,52.76547,57.33471074380165
CNV/CNV-163081-6.jpeg,50.656006,49.79338842975206
CNV/CNV-163081-7.jpeg,49.15399,44.83471074380165
CNV/CNV-163081-8.jpeg,49.265987,45.14462809917356
CNV/CNV-163081-9.jpeg,50.895866,51.5495867768595
CNV/CNV-1632795-1.jpeg,49.09621,44.62809917355372
CNV/CNV-1641792-1.jpeg,45.63603,32.95454545454545
CNV/CNV-1641792-2.jpeg,51.351116,52.99586776859504
CNV/CNV-1699976-1.jpeg,56.406204,67.35537190082644
CNV/CNV-1699976-2.jpeg,55.69141,65.70247933884298
CNV/CNV-1699976-3.jpeg,61.021362,81.30165289256198
CNV/CNV-1699976-4.jpeg,54.489433,62.70661157024794
CNV/CNV-1699976-5.jpeg,59.02272,75.0
CNV/CNV-1704482-1.jpeg,46.83866,36.67355371900827
CNV/CNV-172472-1.jpeg,45.266285,32.64462809917356
CNV/CNV-172472-10.jpeg,47.023727,37.39669421487603
CNV/CNV-172472-11.jpeg,45.941288,33.98760330578512
CNV/CNV-172472-2.jpeg,51.26951,52.68595041322314
CNV/CNV-172472-3.jpeg,49.915485,47.83057851239669
CNV/CNV-172472-4.jpeg,48.73221,43.69834710743802
CNV/CNV-172472-5.jpeg,49.640255,47.00413223140496
CNV/CNV-172472-6.jpeg,54.281345,62.086776859504134
CNV/CNV-172472-7.jpeg,53.441494,59.19421487603306
CNV/CNV-172472-8.jpeg,55.564213,65.39256198347107
CNV/CNV-172472-9.jpeg,47.65145,39.77272727272727
CNV/CNV-1730592-1.jpeg,47.742016,39.87603305785124
CNV/CNV-1730592-2.jpeg,51.347862,52.892561983471076
CNV/CNV-1731375-1.jpeg,46.91453,36.98347107438016
CNV/CNV-1731375-2.jpeg,50.813995,51.03305785123967
CNV/CNV-1731375-3.jpeg,53.14871,58.574380165289256
CNV/CNV-1784116-1.jpeg,47.85061,40.392561983471076
CNV/CNV-1894770-1.jpeg,47.371162,38.84297520661157
CNV/CNV-1894770-2.jpeg,56.43105,67.4586776859504
CNV/CNV-1980926-1.jpeg,46.530704,35.74380165289256
CNV/CNV-198660-1.jpeg,52.275543,56.19834710743802
CNV/CNV-1997439-1.jpeg,50.864433,51.2396694214876
CNV/CNV-1997439-2.jpeg,44.354507,30.888429752066116
CNV/CNV-1997439-3.jpeg,57.420116,70.45454545454545
CNV/CNV-1997439-4.jpeg,48.061737,41.52892561983471
CNV/CNV-1997439-5.jpeg,54.721447,63.1198347107438
CNV/CNV-1997439-6.jpeg,50.372665,49.27685950413223
CNV/CNV-1997439-7.jpeg,52.350166,56.611570247933884
CNV/CNV-2025105-1.jpeg,55.474094,65.18595041322314
CNV/CNV-204397-1.jpeg,51.508324,53.40909090909091
CNV/CNV-2116022-1.jpeg,48.779438,44.111570247933884
CNV/CNV-2141150-1.jpeg,49.30016,45.24793388429752
CNV/CNV-2141150-2.jpeg,52.046364,55.371900826446286
CNV/CNV-2158821-1.jpeg,45.83767,33.574380165289256
CNV/CNV-2158821-2.jpeg,48.51543,42.768595041322314
CNV/CNV-2168793-1.jpeg,49.34654,45.557851239669425
CNV/CNV-2177326-1.jpeg,52.9485,57.95454545454546
CNV/CNV-218676-1.jpeg,51.35363,53.099173553719005
CNV/CNV-2192440-1.jpeg,48.31004,42.25206611570248
