image_id,model,serial,seed,layer_name,relative_depth,mahalanobis_distance,cosine_CNV,cosine_DME,cosine_DRUSEN
CNV/CNV-1016042-1.jpeg,resnet_baseline,1,42,mid,0.33,12.530676,0.85656136,0.7371935,0.7508713
CNV/CNV-1016042-2.jpeg,resnet_baseline,1,42,mid,0.33,14.8846855,0.44185877,0.50977445,0.42781428
CNV/CNV-1016042-3.jpeg,resnet_baseline,1,42,mid,0.33,22.702288,0.92068064,0.8375099,0.7478174
CNV/CNV-1016042-4.jpeg,resnet_baseline,1,42,mid,0.33,15.9990225,0.8382505,0.7085455,0.7831781
CNV/CNV-103044-1.jpeg,resnet_baseline,1,42,mid,0.33,14.890638,0.6857417,0.4864046,0.63964856
CNV/CNV-103044-10.jpeg,resnet_baseline,1,42,mid,0.33,13.006167,0.81515217,0.6509039,0.78509295
CNV/CNV-103044-11.jpeg,resnet_baseline,1,42,mid,0.33,15.9559,0.8840647,0.6690692,0.7918643
CNV/CNV-103044-12.jpeg,resnet_baseline,1,42,mid,0.33,16.246302,0.8913939,0.6258693,0.79852235
CNV/CNV-103044-2.jpeg,resnet_baseline,1,42,mid,0.33,14.6417675,0.7791878,0.54331505,0.68502957
CNV/CNV-103044-3.jpeg,resnet_baseline,1,42,mid,0.33,12.609086,0.91540015,0.80356073,0.8721547
CNV/CNV-103044-4.jpeg,resnet_baseline,1,42,mid,0.33,15.024089,0.7290104,0.53458095,0.6927757
CNV/CNV-103044-5.jpeg,resnet_baseline,1,42,mid,0.33,13.598296,0.89952075,0.7337601,0.89998454
CNV/CNV-103044-6.jpeg,resnet_baseline,1,42,mid,0.33,17.413847,0.7294167,0.6338521,0.659237
CNV/CNV-103044-7.jpeg,resnet_baseline,1,42,mid,0.33,14.53683,0.9173257,0.73365647,0.86550486
CNV/CNV-103044-8.jpeg,resnet_baseline,1,42,mid,0.33,11.392954,0.8988836,0.7469525,0.7819876
CNV/CNV-103044-9.jpeg,resnet_baseline,1,42,mid,0.33,19.73236,0.8633486,0.6836091,0.7749822
CNV/CNV-1083927-1.jpeg,resnet_baseline,1,42,mid,0.33,17.315548,0.77777517,0.6855216,0.6586102
