image_id,model,serial,seed,mahalanobis_distance,cosine_CNV,cosine_DME,cosine_DRUSEN
CNV/CNV-1016042-1.jpeg,resnet_baseline,1,42,26.632294,0.98920846,0.5497295,0.618679
CNV/CNV-1016042-2.jpeg,resnet_baseline,1,42,30.954714,0.95580655,0.7706269,0.44211644
CNV/CNV-1016042-3.jpeg,resnet_baseline,1,42,34.641838,0.9393312,0.7902486,0.39633608
CNV/CNV-1016042-4.jpeg,resnet_baseline,1,42,43.615734,0.9624686,0.6482622,0.49249265
CNV/CNV-103044-1.jpeg,resnet_baseline,1,42,25.9662,0.9130126,0.73834026,0.29072052
CNV/CNV-103044-10.jpeg,resnet_baseline,1,42,15.338403,0.97596776,0.55705,0.61720085
CNV/CNV-103044-11.jpeg,resnet_baseline,1,42,37.463165,0.87594116,0.847945,0.3077253
CNV/CNV-103044-12.jpeg,resnet_baseline,1,42,33.77852,0.98478353,0.61732364,0.5289239
CNV/CNV-103044-2.jpeg,resnet_baseline,1,42,28.815037,0.8897438,0.853271,0.3294447
CNV/CNV-103044-3.jpeg,resnet_baseline,1,42,25.989676,0.9969349,0.61493945,0.60165054
CNV/CNV-103044-4.jpeg,resnet_baseline,1,42,35.068287,0.9082382,0.7760341,0.29903755
CNV/CNV-103044-5.jpeg,resnet_baseline,1,42,32.881954,0.9838635,0.6907967,0.69343543
CNV/CNV-103044-6.jpeg,resnet_baseline,1,42,34.618988,0.9248386,0.40511423,0.7961724
CNV/CNV-103044-7.jpeg,resnet_baseline,1,42,30.66476,0.9917561,0.590359,0.6941408
CNV/CNV-103044-8.jpeg,resnet_baseline,1,42,23.2002,0.96221495,0.69626397,0.7004271
CNV/CNV-103044-9.jpeg,resnet_baseline,1,42,31.575596,0.9776111,0.5150151,0.7143482
CNV/CNV-1083927-1.jpeg,resnet_baseline,1,42,34.470104,0.9821427,0.67334545,0.56762075
CNV/CNV-1112835-1.jpeg,resnet_baseline,1,42,43.932983,0.95532453,0.5555046,0.49647364
CNV/CNV-1112835-2.jpeg,resnet_baseline,1,42,36.352623,0.96704435,0.5879966,0.5040899
CNV/CNV-1130960-1.jpeg,resnet_baseline,1,42,44.082375,0.92729735,0.67887366,0.35447982
CNV/CNV-1131664-1.jpeg,resnet_baseline,1,42,23.772964,0.95407367,0.7434328,0.40370122
CNV/CNV-1136126-1.jpeg,resnet_baseline,1,42,32.262486,0.9625462,0.5608219,0.7986979
CNV/CNV-1177084-1.jpeg,resnet_baseline,1,42,25.531977,0.96970487,0.782953,0.5155671
CNV/CNV-1188386-1.jpeg,resnet_baseline,1,42,37.75078,0.9670223,0.5886637,0.501982
CNV/CNV-1188386-2.jpeg,resnet_baseline,1,42,45.576305,0.9645649,0.6469507,0.65478605
CNV/CNV-1188386-3.jpeg,resnet_baseline,1,42,38.217888,0.95354265,0.7093141,0.42754534
CNV/CNV-1188386-4.jpeg,resnet_baseline,1,42,45.029022,0.95028543,0.6828768,0.47601345
CNV/CNV-1260317-1.jpeg,resnet_baseline,1,42,40.800476,0.9464819,0.6553619,0.4116363
CNV/CNV-1290410-1.jpeg,resnet_baseline,1,42,32.792213,0.97681147,0.6831175,0.62633073
CNV/CNV-1290410-2.jpeg,resnet_baseline,1,42,35.76938,0.9691163,0.5458528,0.5418491
CNV/CNV-1290410-3.jpeg,resnet_baseline,1,42,52.17026,0.93996227,0.6330546,0.4962679
CNV/CNV-1305450-1.jpeg,resnet_baseline,1,42,28.18319,0.972558,0.6398393,0.4519694
CNV/CNV-1305450-2.jpeg,resnet_baseline,1,42,17.746304,0.9749268,0.5960138,0.685926
CNV/CNV-1305450-3.jpeg,resnet_baseline,1,42,24.42509,0.9062377,0.8235926,0.35706756
CNV/CNV-1305450-4.jpeg,resnet_baseline,1,42,28.94309,0.95830256,0.7739598,0.43000615
CNV/CNV-137351-1.jpeg,resnet_baseline,1,42,29.262028,0.9942603,0.6532501,0.6011332
CNV/CNV-1415351-1.jpeg,resnet_baseline,1,42,26.812754,0.9758185,0.7427291,0.52551556
CNV/CNV-154835-1.jpeg,resnet_baseline,1,42,26.582144,0.988753,0.6279329,0.62739354
CNV/CNV-154835-2.jpeg,resnet_baseline,1,42,28.768936,0.98730475,0.6652185,0.5397818
CNV/CNV-163081-1.jpeg,resnet_baseline,1,42,40.217274,0.9443282,0.67530763,0.42406338
CNV/CNV-163081-10.jpeg,resnet_baseline,1,42,32.19906,0.980012,0.6739942,0.5375591
CNV/CNV-163081-2.jpeg,resnet_baseline,1,42,34.142845,0.9638246,0.734677,0.44129354
CNV/CNV-163081-3.jpeg,resnet_baseline,1,42,29.721924,0.96124554,0.4557771,0.5775379
CNV/CNV-163081-4.jpeg,resnet_baseline,1,42,34.061386,0.94036037,0.8133574,0.43410325
CNV/CNV-163081-5.jpeg,resnet_baseline,1,42,26.072521,0.98523164,0.6841653,0.69099164
CNV/CNV-163081-6.jpeg,resnet_baseline,1,42,46.75824,0.9016895,0.81419635,0.3896887
CNV/CNV-163081-7.jpeg,resnet_baseline,1,42,45.48124,0.91735053,0.7406659,0.35868827
CNV/CNV-163081-8.jpeg,resnet_baseline,1,42,25.7053,0.98724794,0.740453,0.58176196
CNV/CNV-163081-9.jpeg,resnet_baseline,1,42,39.6532,0.9595011,0.73178554,0.47877932
CNV/CNV-1632795-1.jpeg,resnet_baseline,1,42,30.95192,0.9662638,0.5884088,0.44171557
CNV/CNV-1641792-1.jpeg,resnet_baseline,1,42,25.03096,0.97771406,0.74971527,0.53701353
CNV/CNV-1641792-2.jpeg,resnet_baseline,1,42,30.631924,0.950101,0.79908776,0.4342934
CNV/CNV-1699976-1.jpeg,resnet_baseline,1,42,32.062714,0.9839598,0.6754116,0.6569963
CNV/CNV-1699976-2.jpeg,resnet_baseline,1,42,37.52213,0.9786155,0.6655592,0.51184857
CNV/CNV-1699976-3.jpeg,resnet_baseline,1,42,31.121851,0.98682153,0.6617363,0.659582
CNV/CNV-1699976-4.jpeg,resnet_baseline,1,42,45.339252,0.9546458,0.615016,0.46915087
CNV/CNV-1699976-5.jpeg,resnet_baseline,1,42,35.334454,0.9699534,0.74597806,0.51398164
CNV/CNV-1704482-1.jpeg,resnet_baseline,1,42,40.32963,0.9661802,0.7169961,0.46340993
CNV/CNV-172472-1.jpeg,resnet_baseline,1,42,40.762394,0.9758887,0.5624,0.5786472
CNV/CNV-172472-10.jpeg,resnet_baseline,1,42,27.813198,0.9807441,0.49123025,0.66733694
CNV/CNV-172472-11.jpeg,resnet_baseline,1,42,51.48679,0.936265,0.5066687,0.5722021
CNV/CNV-172472-2.jpeg,resnet_baseline,1,42,21.06653,0.9854476,0.6808825,0.5164253
CNV/CNV-172472-3.jpeg,resnet_baseline,1,42,48.50573,0.9399405,0.66160613,0.44266325
CNV/CNV-172472-4.jpeg,resnet_baseline,1,42,37.701336,0.97615534,0.6036774,0.593837
CNV/CNV-172472-5.jpeg,resnet_baseline,1,42,30.476057,0.9806756,0.7383528,0.59717053
CNV/CNV-172472-6.jpeg,resnet_baseline,1,42,38.66777,0.925451,0.8132826,0.5160842
CNV/CNV-172472-7.jpeg,resnet_baseline,1,42,36.434586,0.96482766,0.47650626,0.7277429
CNV/CNV-172472-8.jpeg,resnet_baseline,1,42,33.432068,0.91140306,0.3234585,0.7477399
CNV/CNV-172472-9.jpeg,resnet_baseline,1,42,33.0189,0.9788014,0.6031609,0.58963966
CNV/CNV-1730592-1.jpeg,resnet_baseline,1,42,36.74506,0.9673971,0.48109078,0.63343644
CNV/CNV-1730592-2.jpeg,resnet_baseline,1,42,33.61961,0.9899983,0.62814534,0.6137409
CNV/CNV-1731375-1.jpeg,resnet_baseline,1,42,33.047802,0.9508374,0.69242525,0.3887818
CNV/CNV-1731375-2.jpeg,resnet_baseline,1,42,24.066214,0.96646696,0.6445307,0.71179044
CNV/CNV-1731375-3.jpeg,resnet_baseline,1,42,31.112333,0.9686919,0.51371926,0.7582231
CNV/CNV-1784116-1.jpeg,resnet_baseline,1,42,44.369976,0.9452143,0.7080201,0.39853358
CNV/CNV-1894770-1.jpeg,resnet_baseline,1,42,27.501009,0.90826434,0.84220564,0.3833277
CNV/CNV-1894770-2.jpeg,resnet_baseline,1,42,23.138298,0.9263752,0.7460148,0.500836
CNV/CNV-1980926-1.jpeg,resnet_baseline,1,42,31.372126,0.94715035,0.76307344,0.392532
CNV/CNV-198660-1.jpeg,resnet_baseline,1,42,28.446247,0.9624619,0.45987603,0.65717804
CNV/CNV-1997439-1.jpeg,resnet_baseline,1,42,44.513237,0.94767505,0.76153344,0.4418661
CNV/CNV-1997439-2.jpeg,resnet_baseline,1,42,37.851685,0.9479512,0.7470049,0.4032804
CNV/CNV-1997439-3.jpeg,resnet_baseline,1,42,29.118511,0.981276,0.5877836,0.6678791
CNV/CNV-1997439-4.jpeg,resnet_baseline,1,42,39.302902,0.986879,0.5851773,0.574677
CNV/CNV-1997439-5.jpeg,resnet_baseline,1,42,38.375706,0.9780775,0.71372235,0.608595
CNV/CNV-1997439-6.jpeg,resnet_baseline,1,42,36.59032,0.97465926,0.60289156,0.6892295
CNV/CNV-1997439-7.jpeg,resnet_baseline,1,42,39.228428,0.972106,0.72394484,0.5428523
CNV/CNV-2025105-1.jpeg,resnet_baseline,1,42,21.984333,0.9787277,0.7317842,0.6284019
CNV/CNV-204397-1.jpeg,resnet_baseline,1,42,25.895252,0.9861473,0.6054723,0.5336422
CNV/CNV-2116022-1.jpeg,resnet_baseline,1,42,35.67409,0.9812385,0.6798649,0.5935935
CNV/CNV-2141150-1.jpeg,resnet_baseline,1,42,37.265804,0.9651456,0.67165184,0.47714704
CNV/CNV-2141150-2.jpeg,resnet_baseline,1,42,25.49513,0.9779548,0.6745656,0.64526343
CNV/CNV-2158821-1.jpeg,resnet_baseline,1,42,31.813416,0.9537643,0.47430605,0.69807005
CNV/CNV-2158821-2.jpeg,resnet_baseline,1,42,33.211826,0.9744674,0.5684111,0.6983262
CNV/CNV-2168793-1.jpeg,resnet_baseline,1,42,36.388245,0.93816245,0.7902393,0.4217707
CNV/CNV-2177326-1.jpeg,resnet_baseline,1,42,39.680542,0.9585147,0.54036534,0.57232875
CNV/CNV-218676-1.jpeg,resnet_baseline,1,42,34.816116,0.8929887,0.7590847,0.25271416
CNV/CNV-2192440-1.jpeg,resnet_baseline,1,42,27.124722,0.9880051,0.60753995,0.5625301
CNV/CNV-2192440-2.jpeg,resnet_baseline,1,42,27.780617,0.99193424,0.5646429,0.60199755
CNV/CNV-2350851-1.jpeg,resnet_baseline,1,42,31.879534,0.9760237,0.5416884,0.60755074
CNV/CNV-2438783-1.jpeg,resnet_baseline,1,42,53.999905,0.8808131,0.7872979,0.32415658
CNV/CNV-2438783-2.jpeg,resnet_baseline,1,42,21.443897,0.8956565,0.76209164,0.31603253
CNV/CNV-2541184-1.jpeg,resnet_baseline,1,42,19.76454,0.8763936,0.60701,0.8495391
CNV/CNV-2632189-1.jpeg,resnet_baseline,1,42,37.396435,0.971074,0.58119154,0.6102963
CNV/CNV-2692822-1.jpeg,resnet_baseline,1,42,21.966616,0.950141,0.7503317,0.59672785
