model,serial,seed,epoch,checkpoint_mode,checkpoint_filename,complete_run,sample_index,image_id,image_path,true_label_index,true_label,predicted_label_index,predicted_label,prob_CNV,prob_DME,prob_DRUSEN,prob_NORMAL,logit_CNV,logit_DME,logit_DRUSEN,logit_NORMAL,confidence,entropy,normalized_entropy,classification_margin,energy_T1,is_correct,predicted_NORMAL,safe_NORMAL,false_NORMAL
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,726,NORMAL/NORMAL-1017237-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1017237-1.jpeg,3,NORMAL,3,NORMAL,2.587018570920918e-06,4.4977598008699715e-05,0.0006760078831575811,0.9992764592170715,-6.981979846954346,-4.126321792602539,-1.4162817001342773,5.88230037689209,0.99927646,0.0061411457,0.0044299,0.9986004,-5.883024,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,727,NORMAL/NORMAL-101880-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-101880-1.jpeg,3,NORMAL,3,NORMAL,1.8861372907963414e-08,1.1493690180941485e-05,5.314172085491009e-05,0.9999353885650635,-10.183059692382812,-3.7706222534179688,-2.2394587993621826,7.603024959564209,0.9999354,0.0007187207,0.0005184474,0.9998822,-7.6030893,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,728,NORMAL/NORMAL-1025847-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1025847-1.jpeg,3,NORMAL,3,NORMAL,5.324412768459297e-07,1.125883045460796e-05,0.00014186780026648194,0.999846339225769,-7.689042091369629,-4.637606620788574,-2.103863477706909,6.756597518920898,0.99984634,0.0015466635,0.0011156818,0.9997045,-6.756751,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,729,NORMAL/NORMAL-1038998-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1038998-1.jpeg,3,NORMAL,3,NORMAL,7.282069987013529e-07,1.694171442068182e-05,0.0012114495038986206,0.9987708926200867,-8.008647918701172,-4.861698627471924,-0.5919045209884644,6.122803211212158,0.9987709,0.00956078,0.006896645,0.9975594,-6.124033,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,730,NORMAL/NORMAL-1042462-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1042462-1.jpeg,3,NORMAL,3,NORMAL,0.0004071033908985555,0.0010180326644331217,0.07915037870407104,0.9194244742393494,-4.84345817565918,-3.9268975257873535,0.4265798330307007,2.8789780139923096,0.9194245,0.28818807,0.20788375,0.8402741,-2.9629855,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,731,NORMAL/NORMAL-1058176-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1058176-1.jpeg,3,NORMAL,3,NORMAL,1.0578507499303669e-05,3.2245814509224147e-05,0.0021294106263667345,0.9978277087211609,-6.052301406860352,-4.937737941741943,-0.747525691986084,5.402209758758545,0.9978277,0.015724558,0.011342871,0.9956983,-5.4043846,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,732,NORMAL/NORMAL-1063128-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1063128-1.jpeg,3,NORMAL,3,NORMAL,1.361776611474852e-07,1.5863190128584392e-05,0.00022846533101983368,0.9997555613517761,-8.993631362915039,-4.235835075378418,-1.5684516429901123,6.8154296875,0.99975556,0.002337356,0.001686046,0.9995271,-6.8156743,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,733,NORMAL/NORMAL-1073137-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1073137-1.jpeg,3,NORMAL,3,NORMAL,3.0015272045602615e-07,7.689711310376879e-06,0.00026879552751779556,0.9997232556343079,-8.241243362426758,-4.997896671295166,-1.443828821182251,6.777453899383545,0.99972326,0.0025816837,0.0018622911,0.99945444,-6.7777305,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,734,NORMAL/NORMAL-1081406-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-1081406-1.jpeg,3,NORMAL,3,NORMAL,0.0036734503228217363,0.0015723488759249449,0.02128363959491253,0.9734705686569214,-2.5232739448547363,-3.3718347549438477,-0.7664665579795837,3.056462287902832,0.97347057,0.13885793,0.10016482,0.95218694,-3.08335,True,True,True,False
resnet_baseline,1,42,46,best,01_resnet_baseline_seed42_epoch46_best_20260114_001728.pth,True,735,NORMAL/NORMAL-112928-1.jpeg,D:\Keel\Project MSc - CSC-40098\3 - Experiments\Notebooks\Model_Training\Data_Kermany_OCT2017\test\NORMAL\NORMAL-112928-1.jpeg,3,NORMAL,3,NORMAL,4.857663427060288e-08,2.1713608475693036e-06,0.00018181979248765856,0.9998160004615784,-9.37354850769043,-5.573580741882324,-1.145918369293213,7.466391563415527,0.999816,0.0017790375,0.0012833043,0.9996342,-7.4665756,True,True,True,False
